ebird_spp_code,ebird_com_name,ebird_sci_name,total_counted,historic_cbc_com_name,lon_filter,lat_filter,prov_state_filter,bcr_filter,add_nocturnal,add_feeder,survey_suitability
abetow,Abert's Towhee,Melozone aberti,123331,Abert's Towhee,"-50,-180","90,20",!ZZ,!ZZ,0,0,
acowoo,Acorn Woodpecker,Melanerpes formicivorus,648936,"Acorn Woodpecker,Acorn Woodpecker (Acorn)","-50,-180","90,20",!ZZ,!ZZ,0,0,
afcdov1,African Collared-Dove,Streptopelia roseogrisea,5995,"African Collared-Dove,African Collared-Dove (Domestic type or Ringed Turtle-Dove)","-50,-180","90,20",!ZZ,!ZZ,0,0,
allhum,Allen's Hummingbird,Selasphorus sasin,64137,Allen's Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
altori,Altamira Oriole,Icterus gularis,3083,Altamira Oriole,"-50,-180","90,20",!ZZ,!ZZ,0,0,
ambduc,American Black Duck,Anas rubripes,8232976,American Black Duck,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
ameavo,American Avocet,Recurvirostra americana,1454466,American Avocet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
amebit,American Bittern,Botaurus lentiginosus,21256,American Bittern,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
amecro,American Crow,Corvus brachyrhynchos,58065580,"American Crow,American/Northwestern Crow,Northwestern Crow","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
amedip,American Dipper,Cinclus mexicanus,61065,American Dipper,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
amegfi,American Goldfinch,Spinus tristis,11615312,American Goldfinch,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
amekes,American Kestrel,Falco sparverius,1511444,"American Kestrel,American Kestrel (Northern),American Kestrel (Southeastern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
ameoys,American Oystercatcher,Haematopus palliatus,204251,American Oystercatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
amepip,American Pipit,Anthus rubescens,2519430,"American Pipit,American Pipit (japonicus),American Pipit (rubescens/pacificus)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
amered,American Redstart,Setophaga ruticilla,4299,American Redstart,"-50,-180","90,20",!ZZ,!ZZ,0,0,
amerob,American Robin,Turdus migratorius,72298475,"American Robin,American Robin (migratorius Group),American Robin (nigrideus)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
amewig,American Wigeon,Mareca americana,20370387,American Wigeon,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
amewoo,American Woodcock,Scolopax minor,43176,American Woodcock,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
amhgul1,American Herring Gull,Larus smithsonianus,32974621,"Herring Gull,Herring Gull (American)","-50,-180","90,20",!ZZ,!ZZ,0,0,
amtspa,American Tree Sparrow,Spizelloides arborea,8480879,American Tree Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
amwpel,American White Pelican,Pelecanus erythrorhynchos,2169970,American White Pelican,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
ancmur,Ancient Murrelet,Synthliboramphus antiquus,136107,Ancient Murrelet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
anhing,Anhinga,Anhinga anhinga,340893,Anhinga,"-50,-180","90,20",!ZZ,!ZZ,0,0,
annhum,Anna's Hummingbird,Calypte anna,865157,Anna's Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
aplfal,Aplomado Falcon,Falco femoralis,266,Aplomado Falcon,"-50,-180","90,20",!ZZ,!ZZ,0,0,
ariwoo,Arizona Woodpecker,Dryobates arizonae,1997,"Arizona Woodpecker,Stricklands Woodpecker","-50,-180","90,20",!ZZ,!ZZ,0,0,
astfly,Ash-throated Flycatcher,Myiarchus cinerascens,3803,Ash-throated Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
atlpuf,Atlantic Puffin,Fratercula arctica,752,Atlantic Puffin,"-50,-180","90,20",!ZZ,!ZZ,0,0,
attwoo1,American Three-toed Woodpecker,Picoides dorsalis,5247,"American Three-toed Woodpecker,American Three-toed Woodpecker (Northwest),American Three-toed Woodpecker (Rocky Mts.)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
audori,Audubon's Oriole,Icterus graduacauda,1393,Audubon's Oriole,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bacspa,Bachman's Sparrow,Peucaea aestivalis,2516,Bachman's Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
baisan,Baird's Sandpiper,Calidris bairdii,2930,Baird's Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,
baispa,Baird's Sparrow,Centronyx bairdii,466,Baird's Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
baleag,Bald Eagle,Haliaeetus leucocephalus,1187405,Bald Eagle,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
balori,Baltimore Oriole,Icterus galbula,13058,Baltimore Oriole,"-50,-180","90,20",!ZZ,!ZZ,0,0,
banswa,Bank Swallow,Riparia riparia,369,Bank Swallow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bargol,Barrow's Goldeneye,Bucephala islandica,650090,Barrow's Goldeneye,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
barswa,Barn Swallow,Hirundo rustica,9522,"Barn Swallow,Barn Swallow (American)","-50,-180","90,20",!ZZ,!ZZ,0,0,
batpig1,Band-tailed Pigeon,Patagioenas fasciata,624849,"Band-tailed Pigeon,Band-tailed Pigeon (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
bawwar,Black-and-white Warbler,Mniotilta varia,43343,Black-and-white Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,689359,"Black-bellied Whistling-Duck,Black-bellied Whistling-Duck (autumnalis)","-50,-180","90,20",!ZZ,!ZZ,0,0,
bcnher,Black-crowned Night Heron,Nycticorax nycticorax,491174,"Black-crowned Night-Heron,Black-crowned Night-Heron (American)","-50,-180","90,20",!ZZ,!ZZ,0,0,
bcrfin,Brown-capped Rosy-Finch,Leucosticte australis,38740,Brown-capped Rosy-Finch,"-50,-180","90,20",!ZZ,!ZZ,0,0,
belkin1,Belted Kingfisher,Megaceryle alcyon,739174,Belted Kingfisher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
belvir,Bell's Vireo,Vireo bellii,166,Bell's Vireo,"-50,-180","90,20",!ZZ,!ZZ,0,0,
benthr,Bendire's Thrasher,Toxostoma bendirei,1983,Bendire's Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
bewwre,Bewick's Wren,Thryomanes bewickii,438294,"Bewick's Wren,Bewick's Wren (spilurus Group)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
bkbmag1,Black-billed Magpie,Pica hudsonia,2165371,Black-billed Magpie,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
